Áö¿ø³âµµ,±¸ºÐ,ÃÑ°è,Áø·áÀüÃ¼,Åõ¾à,°æ°ú°üÂû,ÈÄ¼Û,Á¡°Ë/±³À°
"2015","ÃÑ°è","4,464","451","341","31","79","4,013"
"2015","À°±º","3,776","398","299","31","68","3,378"
"2015","ÇØ±º","486","50","39","0","11","436"
"2015","°ø±º","202","3","3","0","0","199"
"2016","ÃÑ°è","9,081","2,162","1,613","471","78","6,919"
"2016","À°±º","7,095","1,726","1,299","361","66","5,369"
"2016","ÇØ±º","1,545","283","192","84","7","1,262"
"2016","°ø±º","441","153","122","26","5","288"
"2017","ÃÑ°è","25,574","5,458","3,873","1,211","374","20,116"
"2017","À°±º","22,871","4,854","3,471","1,049","334","18,017"
"2017","ÇØ±º","1,831","379","233","114","32","1,452"
"2017","°ø±º","872","225","169","48","8","647"
"2018","ÃÑ°è","23,017","6,534","4,856","1,425","253","16,483"
"2018","À°±º","21,076","6,021","4,493","1,298","230","15,055"
"2018","ÇØ±º","1,312","290","195","76","19","1,022"
"2018","°ø±º","629","223","168","51","4","406"
"2019","ÃÑ°è","23,843","7,012","5,533","1,267","212","16,831"
"2019","À°±º","22,131","6,670","5,293","1,177","200","15,461"
"2019","ÇØ±º","1,094","192","119","64","9","902"
"2019","°ø±º","618","150","121","26","3","468"
"2020","ÃÑ°è","10,976","5,851","4,567","1,097","187","5,125"
"2020","À°±º","10,255","5,525","4,320","1,024","181","4,730"
"2020","ÇØ±º","520","263","191","67","5","257"
"2020","°ø±º","201","63","56","6","1","138"
"2021","ÃÑ°è","13,652","6,390","4,898","1,178","314","7,262"
"2021","À°±º","12,507","6,084","4,686","1,099","299","6,423"
"2021","ÇØ±º","911","247","170","66","11","664"
"2021","°ø±º","234","59","42","13","4","175"
