연도,최고기온 (C),최저기온 (C),일 평균기온 (C),일 평균 풍속 (m/s),일강수량 (mm),최심 신적설 (cm),일 평균 상대습도 (%),일교차 (C)
2012,17.5,7.8,12.3,2.2,4.2,0.1,67.1,9.7
2013,18.3,8.2,12.8,2.2,3.2,0,68.5,10.1
2014,18.5,8.4,13,2.1,3.4,0.1,68.4,10.1
2015,18.8,8.7,13.3,2.1,2.8,0,69.1,10
2016,18.8,9,13.5,2,3.6,0,69.9,9.8
2017,18.7,8.1,12.9,2,2.6,0,66.8,10.5
2018,18.5,8.2,12.9,2,4,0,68.5,10.3
2019,19,8.7,13.3,1.9,3.4,0,68.3,10.4
2020,18.5,8.7,13.1,1.9,4.4,0,70.6,9.8
2021,19,8.9,13.5,1.9,3.5,0,71,10.1
2022,18.7,8.4,13.1,1.9,3.1,0,67.8,10.4
2023,19.3,9.2,13.8,1.8,4.7,0,70.5,10.2
2024,19.9,10.2,14.5,1.9,4,0,72,9.7
